gare de depart,gare d'arrivee,date de voyage,heure de depart,heure d'arrivee,prix,correspondance 1,correspondance 2,correspondance 3,correspondance 4
MARRAKECH,ADDAKHLA SUPRATOURS,01/08/2024,05h00,06h00,660 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,ADDAKHLA SUPRATOURS,01/08/2024,15h30,15h00,660 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,ADDAKHLA SUPRATOURS,01/08/2024,21h00,20h30,660 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,05h00,10h14,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,08h30,12h00,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,10h00,13h29,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,11h45,15h14,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,12h45,16h14,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,14h00,17h30,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,14h45,18h15,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,15h45,19h15,150 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,16h45,20h15,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,18h45,22h15,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,20h00,23h30,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,21h00,00h28,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,AGADIR (SUPRAT.),01/08/2024,22h45,02h30,135 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,04h50,05h34,40 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,05h50,06h34,45 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,06h50,07h34,40 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,07h50,08h34,40 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,08h50,09h34,40 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,09h50,10h34,45 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,10h50,11h34,40 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,11h50,12h34,45 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,12h50,13h34,40 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,13h50,14h34,40 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,14h50,15h34,40 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
MARRAKECH,BENGUERIR,01/08/2024,15h50,16h34,40 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
