gare de depart,gare d'arrivee,date de voyage,heure de depart,heure d'arrivee,prix,correspondance 1,correspondance 2,correspondance 3,correspondance 4
EL JADIDA,ADDAKHLA SUPRATOURS,01/08/2024,,,,,,,
EL JADIDA,AGADIR (SUPRAT.),01/08/2024,06h30,15h14,335 DH,correspondance 1 : 07h44 à Station Casa Oasis - correspondance 01h00 Min - départ 08h44,correspondance 2 : 11h14 à Station MARRAKECH - correspondance 31 Min - départ 11h45,pas de correspondance,pas de correspondance
EL JADIDA,BENGUERIR,01/08/2024,06h30,10h30,155 DH,correspondance 1 : 07h44 à Station Casa Oasis - correspondance 01h00 Min - départ 08h44,pas de correspondance,pas de correspondance,pas de correspondance
EL JADIDA,BENGUERIR,01/08/2024,07h30,11h30,125 DH,correspondance 1 : 08h43 à Station Casa Oasis - correspondance 01h01 Min - départ 09h44,pas de correspondance,pas de correspondance,pas de correspondance
EL JADIDA,BENGUERIR,01/08/2024,10h35,14h30,155 DH,correspondance 1 : 11h51 à Station Casa Oasis - correspondance 53 Min - départ 12h44,pas de correspondance,pas de correspondance,pas de correspondance
EL JADIDA,BENGUERIR,01/08/2024,12h35,16h30,155 DH,correspondance 1 : 13h51 à Station Casa Oasis - correspondance 53 Min - départ 14h44,pas de correspondance,pas de correspondance,pas de correspondance
EL JADIDA,BENGUERIR,01/08/2024,14h35,18h30,155 DH,correspondance 1 : 15h51 à Station Casa Oasis - correspondance 53 Min - départ 16h44,pas de correspondance,pas de correspondance,pas de correspondance
EL JADIDA,BENGUERIR,01/08/2024,16h35,20h30,155 DH,correspondance 1 : 17h51 à Station Casa Oasis - correspondance 53 Min - départ 18h44,pas de correspondance,pas de correspondance,pas de correspondance
EL JADIDA,BENGUERIR,01/08/2024,18h35,22h30,155 DH,correspondance 1 : 19h51 à Station Casa Oasis - correspondance 53 Min - départ 20h44,pas de correspondance,pas de correspondance,pas de correspondance
EL JADIDA,CASA PORT,01/08/2024,06h30,08h04,40 DH,pas de correspondance,pas de correspondance,pas de correspondance,pas de correspondance
